city,date,state,text,polarity
San Diego,Fri Nov 27 23:00:16 +0000 2020,CA,@28delayslater Plan a road trip and go on it 🤷🏼‍♀️,0.0
Memphis,Fri Nov 27 23:00:21 +0000 2020,TN,"Happy thanksgiving 🤪 @ Memphis, Tennessee https://t.co/3IApP78Lh2",0.8
Wheaton,Fri Nov 27 23:00:26 +0000 2020,IL,@washed_media had to grab one for my future trip to the Vancouver-Banff area @shmerriman @WilldeFries @dcarterruff… https://t.co/1xYFdcHXa0,0.0
Miami,Fri Nov 27 23:00:39 +0000 2020,FL,Este #Thanksgiving2020 les dieron el dia a miles de trabajadores. Esperen ver como les fue hoy en #BlackFriday2020… https://t.co/Nr9FL7E2lH,0.0
Wekiwa Springs,Fri Nov 27 23:00:45 +0000 2020,FL,@_Taking_Flight_ Yup. Xbox wasted their time trying to make sure they’re compatible on the weaker current (or past… https://t.co/yoQd9XB68d,0.09999999999999999
Livonia,Fri Nov 27 23:00:54 +0000 2020,MI,This #Nursing job might be a great fit for you. Click the link in our bio to see it and more. Travel Dialysis RN -… https://t.co/fMvEa6vx95,0.5666666666666668
Baton Rouge,Fri Nov 27 23:00:54 +0000 2020,LA,real cute AINT nun made up #thanksgiving20’🤎🍁 https://t.co/Nx7DgETfhs,0.75
Hemet,Fri Nov 27 23:00:56 +0000 2020,CA,@420bbyk you’re looking beautiful this afternoon after thanksgiving,0.85
New Orleans,Fri Nov 27 23:01:05 +0000 2020,LA,Day after #Thanksgiving aesthetic #HolidaySeason https://t.co/L6aoVbMPKk,0.0
Germantown,Fri Nov 27 23:01:05 +0000 2020,MD,"@Jim_Jordan It was a good, but small, Thanksgiving this year. Next year will be a shingding!",0.15
San Diego,Fri Nov 27 23:01:15 +0000 2020,CA,Thanksgiving Part Deux but with Aperol Spritz,0.0
Port Clinton,Fri Nov 27 23:01:17 +0000 2020,OH,I hope you had a beautiful thanksgiving.  We had a nice one except for dad isn’t here with us anymore.,0.725
Mountain Brook,Fri Nov 27 23:01:18 +0000 2020,AL,I have seen that Notre Dame field goal flight path off the tee box many times in my life.,0.5
Portland,Fri Nov 27 23:01:33 +0000 2020,OR,Post-Thanksgiving plans=putting on stretchy pants &amp; pouring a big bowl 🥣 of our wholesome Signature Grainless Grano… https://t.co/OOp6bAOWvI,0.0
University Heights,Fri Nov 27 23:01:41 +0000 2020,OH,@BenAxelrod @NickCaminoWKYC The Buckeyes did not travel today leaving in the morning.,0.0
Wichita Falls,Fri Nov 27 23:01:50 +0000 2020,TX,"@DanRather A happy Thanksgiving season to you and your family,  Mr. Rather!  Still miss you on CBS news!",1.0
Houston,Fri Nov 27 23:01:55 +0000 2020,TX,@_SkinnyMinniie next thanksgiving,0.0
St Paul,Fri Nov 27 23:02:22 +0000 2020,MN,"Yesterday before my Thanksgiving walk. Unshaved and stinky. @ Saint Paul, Minnesota https://t.co/14U8zKqvWX",0.0
Los Angeles,Fri Nov 27 23:02:29 +0000 2020,CA,"My family took a little vacation down to LA for my father's birthday and Thanksgiving. We had fun, We were stressed… https://t.co/zydosjPfr1",-0.014351851851851857
Langhorne,Fri Nov 27 23:02:36 +0000 2020,PA,"A beautiful Thanksgiving  holiday night @ Langhorne, Pennsylvania https://t.co/YN9hzEFpd0",0.85
Detroit,Fri Nov 27 23:02:42 +0000 2020,MI,"Alrighty, lemme change my flight cause I miss Toronto :(",-0.75
Austin,Fri Nov 27 23:03:00 +0000 2020,TX,"Yuja Wang - Flight of the Bumblebee 

https://t.co/hNKamvVCEQ https://t.co/IGOMqUQZJf",0.0
Moreno Valley,Fri Nov 27 23:03:05 +0000 2020,CA,I know it’s a day late but from our family to yours HAPPY THANKSGIVING #filipinomartialarts #eskrima #kali #arnis… https://t.co/kxuJPQK42L,0.25
