city,date,state,text,polarity
Santee,10-21-2020,CA,@MelissasProduce @Dodgers @RaysBaseball @RaysBaseball,0.0
Santee,10-21-2020,CA,@MelissasProduce @Dodgers @RaysBaseball @RaysBaseball,0.0
Long Beach,10-21-2020,CA,@DodgersNation Dodgers need a chip,0.0
Brooklyn,10-21-2020,NY,@MLB @RaysBaseball @Dodgers Not the red sox,0.0
Brooklyn,10-21-2020,NY,@MLB @RaysBaseball @Dodgers Not the red sox,0.0
Brooklyn,10-21-2020,NY,@MLB @RaysBaseball @Dodgers Not the red sox,0.0
Brooklyn,10-21-2020,NY,@realDonaldTrump https://t.co/ji8MlBHuf6,0.0
Long Beach,10-21-2020,CA,@TheRealBJack50 @DodgersNation 626 Dodgers,0.0
Oak Ridge North,10-21-2020,TX,@Lilrays_ @aimeetambwe THANK YOU OMG 🥺🥰,0.0
Lakeland Heights,10-21-2020,TX,@RoutineBaseball 6- 4 Dodgers,0.0
Grandview Heights,10-21-2020,OH,@Bambino_Bets dodgers -132,0.0
Olympia,10-21-2020,WA,Randy does nothing but rake! Loved this #RaysMoment. ULTRAMoment via @MichelobUltra,0.7
Corona,10-21-2020,CA,@Dodgers @yungjoc650 @kikehndez @Awood45 @Cody_Bellinger Let’s Go Dodgers!⚾️,0.0
Vernon Hills,10-21-2020,IL,@RoutineBaseball 8-4 Dodgers,0.0
Los Angeles,10-21-2020,CA,@Dodgers @yungjoc650 @kikehndez @Awood45 @Cody_Bellinger Lets https://t.co/EKvZU0LFCM,0.0
Kendall,10-21-2020,FL,Let’s fucking go dodgers,-0.6
North Zanesville,10-21-2020,OH,Hey @JJohnsonlesss @keenparts2   Are we SOL tonight?  World Series is on. No #MaskedSinger ??,0.0
Memphis,10-21-2020,TN,"World Series game 2
Over 8 
Score in first? Yes 

Hits runs RBIs
Choi over 1.5
Arozarena over 2
Betts over 2.5",-0.07500000000000001
Manhattan,10-21-2020,NY,"@Tom50448150 Leaned Dodgers but didn’t like Gonsolin on short rest. That leaves us with May, should be good enough?… https://t.co/VDxh8iiMmg",0.35
Houserville,10-21-2020,PA,@MelissasProduce @Dodgers @RaysBaseball Tampa Bay,0.0
Houserville,10-21-2020,PA,@MelissasProduce @Dodgers @RaysBaseball Tampa Bay,0.0
Clearwater,10-21-2020,FL,"1 HOUR till #WorldSeries Game 2, #RaysTwitFam!!! How we feeling?! 😬😬💙⚾️💙 #RAYSUP #OURTIME",-0.9765625
O'Fallon,10-21-2020,MO,@MLB @budweiserusa Would love this sweet prize package #HitTheBuds #Sweepstakes,0.425
Independence,10-21-2020,MO,game 2 of the #WorldSeries tonite ! Who do you have winning game 2 ? I have the #Dodgers winning 7-4,0.024999999999999998
Camden,10-21-2020,NJ,"En un caminar día a día no buscamos la perfección, buscamos un progreso espiritual 🥰❤️💎🙏
#powerful en Espacio De Ga… https://t.co/nMLBtpejv3",0.3
Citrus Heights,10-21-2020,CA,"Derek Jeter, Game 4 2001 World Series walk off home run",-0.4
Bronx,10-21-2020,NY,World Series 2020 ranked #1 nba finals #2 wack WNBA wubble the worst so @jennalemoncelli and @JasonNegron take note… https://t.co/uq0uZRfGhI,-1.0
Eldridge,10-21-2020,IA,Repetitive swing #Dodgers,-0.25
Birdsboro,10-21-2020,PA,"Phillies world series or eagles superbowl, I'd have to lean towards the phillies",0.0
Tampa,10-21-2020,FL,"#Wednesday business as usual 📻🆙 #RaysUp 💥 #Tampa #TapIn @ Tampa, Florida https://t.co/IOO8PVyLoe",-0.25
Los Angeles,10-21-2020,CA,@slmandel Not weird at all. You know anyone who watches the Rays?,0.25
Greensboro,10-21-2020,NC,@RaysBaseball @Dodgers @espn @MLB #RaysUp #Dodgers #WorldSeries #Worlds2020,0.0
Greensboro,10-21-2020,NC,@RaysBaseball @Dodgers @espn @MLB #RaysUp #Dodgers #WorldSeries #Worlds2020,0.0
Greensboro,10-21-2020,NC,@RaysBaseball @Dodgers @espn @MLB #RaysUp #Dodgers #WorldSeries #Worlds2020,0.0
Independence,10-21-2020,MO,"@MLBONFOX I’m bias but I believe the 2015 @Royals should be in the top five at least . Defense, pitching &amp; they jus… https://t.co/tJzLSrG5T6",0.1
North St Paul,10-21-2020,MN,"Locally: Twins winning 1991 World Series.

Nationally: Miracle on Ice.",0.25
Carson,10-21-2020,CA,@michaelschwab13 @BenReiter Carlos Beltran was on those cardinal squads that smashed the dodgers too🤯🤯,0.0
Arlington,10-21-2020,TX,Ya en  el estadio listos para el juego 2 de #seriemundialxfox #mlbxfox https://t.co/Wf2PEiOnPX,0.0
San Diego,10-21-2020,CA,@EdNieto05 @mookiebetts @Dodgers That thing is like 7% meat. Dodgers with more smoke &amp; mirrors. They’ll be found out tonight!,0.625
Houston,10-21-2020,TX,Even MLB better than the NBA lmaoo #nba  #WorldSeries,0.5
Charlotte,10-21-2020,NC,@HenrichsJeffrey I’d like to see 4 more Rays wins.,0.4
Reading,10-21-2020,PA,The Tampa Bay Rays are in the World Series #2020 is so weird,-0.5
Reading,10-21-2020,PA,The Tampa Bay Rays are in the World Series #2020 is so weird,-0.5
Socastee,10-21-2020,SC,"Not going to lie, would be great to see @ClaytonKersh22 clinch WS for @Dodgers #WorldSeries",0.8
Bardmoor,10-21-2020,FL,Good Time with @HulkHogan and Matt pulling for the Ray's Just like we are in the World Series game 2 tonight RAYS U… https://t.co/6eNeS1D51s,0.14999999999999994
Bardmoor,10-21-2020,FL,Good Time with @HulkHogan and Matt pulling for the Ray's Just like we are in the World Series game 2 tonight RAYS U… https://t.co/6eNeS1D51s,0.14999999999999994
Houston,10-21-2020,TX,#Dodgers,0.0
Indianapolis,10-21-2020,IN,@BauerOutage @YouTube @FangageInc @RaysBaseball @Dodgers Please pick my photo. Appreciate you taking the time. Than… https://t.co/zeo4jhDnHC,0.0
Indianapolis,10-21-2020,IN,@BauerOutage @YouTube @FangageInc @RaysBaseball @Dodgers Please pick my photo. Appreciate you taking the time. Than… https://t.co/zeo4jhDnHC,0.0
San Francisco,10-21-2020,CA,Go @RaysBaseball https://t.co/4QobAfYVHP,0.0
Washington,10-21-2020,DC,Reading people fan over the Dodgers on this app makes me physically ill.,-0.5
Hawthorne,10-21-2020,CA,#dodgers,0.0
East Lake-Orient Park,10-21-2020,FL,@RaysBaseball get right!!!!,0.6975446428571428
Norwich,10-21-2020,CT,@dog1755 @FuctupMike Wrays a sleeper ? Lmfao try he's a skater.,0.0
Orlando,10-21-2020,FL,@StrosShadow You want the Dodgers to win.,0.8
Land O' Lakes,10-21-2020,FL,#RaysUp and Tie it up #WorldSeries https://t.co/GvajXhmdIU,0.0
Eugene,10-21-2020,OR,@MelissasProduce @Dodgers @RaysBaseball Dodgers!,0.0
Eugene,10-21-2020,OR,@MelissasProduce @Dodgers @RaysBaseball Dodgers!,0.0
Indianapolis,10-21-2020,IN,@BauerOutage @YouTube @FangageInc @RaysBaseball @Dodgers My photo for signature. Awesome man! https://t.co/OttyO5Tqpp,1.0
Indianapolis,10-21-2020,IN,@BauerOutage @YouTube @FangageInc @RaysBaseball @Dodgers My photo for signature. Awesome man! https://t.co/OttyO5Tqpp,1.0
Greenwood,10-21-2020,IN,@DodgerInsider @Dodgers He’s been playing out of his mind. I want a Julio Urias jersey.,0.0
Tamiami,10-21-2020,FL,Volvamos a la Serie Mundial... #Postemporada #postseason #MLB,0.0
