word,count
kinda,1
nothing,1
let,1
taste,1
buddy,1
climate,1
saying,1
back,1
wood,1
ca,1
awesome,1
long,1
biden,1
reach,1
con,1
rake,1
urban,1
one,1
media,1
wildly,1
definitely,1
west,1
w,1
sleep,1
went,1
fence,1
places,1
changed,1
florida,1
year,1
dr,1
think,1
sorry,1
stand,1
sam,1
injury,1
braves,1
posted,1
fives,1
available,1
club,1
ding,1
releas,1
ever,1
tri,1
bowden,1
basically,1
home,1
teams,1
algor,1
rib,1
arozarena,1
staff,1
listen,1
stocked,1
happy,1
okay,1
dodger,1
start,1
portrays,1
almost,1
prayers,1
keith,1
became,1
drugs,1
jamboard,1
arlington,1
est,1
fair,1
makes,1
btw,1
ashtrays,1
miss,1
ready,1
painful,1
reply,1
mine,1
week,1
baby,1
slot,1
looking,1
fuckkkk,1
although,1
stars,1
g,1
bay,1
bad,1
victim,1
sign,1
hr,1
handshake,1
astros,1
pm,1
hearty,1
much,1
omg,1
parlay,1
mom,1
instead,1
high,1
bobby,1
army,1
bent,1
brandon,1
wanna,1
tip,1
pst,1
mlb,1
playlist,1
blue,1
loved,1
fan,1
yeah,1
gets,1
constantly,1
props,1
stadium,1
side,1
oh,1
able,1
also,1
tnf,1
took,1
weekend,1
counselor,1
dong,1
find,1
hundred,1
boss,1
abou,1
always,1
finals,1
eat,1
know,1
team,1
utilized,1
sweet,1
sold,1
weeks,1
praying,1
remember,1
due,1
dumb,1
takes,1
uses,1
try,1
political,1
done,1
bu,1
rays,1
shoes,1
serve,1
day,1
watch,1
smoked,1
photo,1
culture,1
sports,1
congrats,1
fans,1
watched,1
paradise,1
boston,1
half,1
evening,1
stuff,1
nope,1
lowe,1
someone,1
morning,1
hour,1
ratings,1
upper,1
hits,1
things,1
share,1
mannn,1
chakra,2
rip,2
great,2
ago,2
tune,2
dodgers,2
never,2
time,2
go,2
entrevista,2
los,2
like,2
bout,2
hey,2
sprays,2
minutes,2
love,2
u,2
special,2
looked,2
ultramoment,2
years,2
today,2
red,2
lot,2
would,2
randy,2
going,2
blew,2
big,2
pt,2
via,2
son,2
baseball,2
et,2
kid,2
tampa,2
angel,2
good,3
games,3
de,3
first,3
well,3
tell,3
game,3
meet,3
come,3
hello,3
tonight,6
series,15
world,18
